epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1398.7,0.47305,0.38017,0.92667,0.9873,1,0.99118,0.86699,0.63104,0.32923,1.07148,0.00038375,0.00038375,0.00038375
72,1422.2,0.46615,0.35935,0.9174,0.98835,1,0.99088,0.85078,0.6286,0.33624,1.06751,0.000371375,0.000371375,0.000371375
73,1445.08,0.45644,0.36132,0.918,0.98783,1,0.99353,0.86128,0.62825,0.3408,1.06027,0.000359,0.000359,0.000359
74,1466.22,0.4681,0.36671,0.91715,0.98742,1,0.99382,0.87538,0.62471,0.32761,1.08341,0.000346625,0.000346625,0.000346625
75,1486.48,0.45986,0.3646,0.92031,0.98727,1,0.99353,0.86921,0.63725,0.33452,1.06692,0.00033425,0.00033425,0.00033425
76,1507.53,0.4488,0.349,0.92746,0.98799,1,0.99118,0.87082,0.6078,0.31463,1.05853,0.000321875,0.000321875,0.000321875
77,1527.63,0.42613,0.34276,0.89933,0.98824,1,0.99147,0.855,0.61675,0.34087,1.07261,0.0003095,0.0003095,0.0003095
78,1546.48,0.44967,0.35401,0.91377,0.98803,1,0.99118,0.86845,0.61354,0.31573,1.08233,0.000297125,0.000297125,0.000297125
79,1565.55,0.44843,0.3425,0.91409,0.98829,1,0.99,0.8564,0.62033,0.32745,1.09248,0.00028475,0.00028475,0.00028475
80,1585.44,0.43381,0.34122,0.90941,0.98834,1,0.99088,0.86986,0.60719,0.32668,1.08,0.000272375,0.000272375,0.000272375
81,1606.74,0.42608,0.35024,0.91238,0.98832,1,0.99235,0.87591,0.61549,0.32295,1.07909,0.00026,0.00026,0.00026
82,1628.26,0.4238,0.33392,0.90343,0.9876,1,0.99265,0.87148,0.60664,0.32555,1.06868,0.000247625,0.000247625,0.000247625
83,1647.63,0.39937,0.32087,0.89966,0.98699,1,0.99206,0.86676,0.61284,0.32389,1.07263,0.00023525,0.00023525,0.00023525
84,1667.13,0.43165,0.33769,0.8977,0.98762,1,0.99176,0.87171,0.60183,0.31499,1.07246,0.000222875,0.000222875,0.000222875
85,1687.24,0.41023,0.31662,0.90626,0.98828,1,0.98765,0.85602,0.60509,0.32404,1.06471,0.0002105,0.0002105,0.0002105
86,1707.13,0.40487,0.31992,0.89346,0.98836,1,0.99,0.87139,0.60753,0.31363,1.06614,0.000198125,0.000198125,0.000198125
87,1727.85,0.41999,0.32415,0.91103,0.98874,1,0.99059,0.86731,0.59695,0.30734,1.06924,0.00018575,0.00018575,0.00018575
88,1749.69,0.42078,0.31726,0.90527,0.98788,1,0.99265,0.87579,0.60376,0.30134,1.07091,0.000173375,0.000173375,0.000173375
89,1770.68,0.42151,0.31817,0.90532,0.98822,1,0.99235,0.87555,0.60994,0.31046,1.08127,0.000161,0.000161,0.000161
90,1791.91,0.41709,0.31442,0.90618,0.98839,1,0.99235,0.87129,0.62125,0.32583,1.08015,0.000148625,0.000148625,0.000148625
91,1812.44,0.28444,0.25004,0.81275,0.98792,1,0.99265,0.87755,0.5973,0.30124,1.06349,0.00013625,0.00013625,0.00013625
92,1836.73,0.27012,0.23347,0.80578,0.9878,1,0.99265,0.87255,0.60897,0.31172,1.07039,0.000123875,0.000123875,0.000123875
93,1856.84,0.27318,0.23292,0.81829,0.98836,1,0.99176,0.87516,0.60996,0.31511,1.07757,0.0001115,0.0001115,0.0001115
94,1876.95,0.27456,0.2249,0.82566,0.98823,1,0.99029,0.87265,0.60417,0.31159,1.0701,9.9125e-05,9.9125e-05,9.9125e-05
95,1896.35,0.26191,0.21994,0.8012,0.98806,1,0.99,0.86888,0.60003,0.31134,1.06796,8.675e-05,8.675e-05,8.675e-05
96,1915.49,0.26002,0.20839,0.81318,0.98826,1,0.98971,0.87308,0.59539,0.29753,1.05796,7.4375e-05,7.4375e-05,7.4375e-05
97,1935.07,0.26156,0.22231,0.81108,0.98826,1,0.98882,0.87244,0.59108,0.30484,1.05811,6.2e-05,6.2e-05,6.2e-05
98,1954.44,0.25658,0.21296,0.81192,0.98835,1,0.98971,0.86969,0.60655,0.2988,1.06183,4.9625e-05,4.9625e-05,4.9625e-05
99,1974.5,0.25473,0.20758,0.81399,0.98848,1,0.99029,0.87745,0.58864,0.29055,1.06077,3.725e-05,3.725e-05,3.725e-05
100,1996.19,0.25368,0.2102,0.80099,0.98857,1,0.98971,0.87042,0.59048,0.29262,1.06245,2.4875e-05,2.4875e-05,2.4875e-05
